ip,app,device,os,channel,click_time,attributed_time,is_attributed,hour,day
16866,2,1,22,7,2017-11-09 08:00:13,,0,8,9
11076,11,1,19,86,2017-11-07 08:03:43,,0,8,7
2766,2,1,13,77,2017-11-07 10:59:01,,0,10,7
15342,13,1,19,33,2017-11-07 09:06:56,,0,9,7
18052,11,1,13,64,2017-11-07 23:03:54,,0,23,7
575,2,1,13,77,2017-11-08 07:30:26,,0,7,8
807,1,1,13,144,2017-11-09 13:14:06,,0,13,9
11878,11,1,19,64,2017-11-07 07:43:08,,0,7,7
14162,27,1,3,34,2017-11-07 08:24:35,,0,8,7
15139,11,1,17,86,2017-11-09 07:33:39,,0,7,9
2342,2,1,17,77,2017-11-07 06:01:41,,0,6,7
11811,2,1,19,48,2017-11-07 13:45:51,,0,13,7
17649,0,1,13,5,2017-11-07 06:40:40,,0,6,7
10200,2,1,10,105,2017-11-09 13:21:35,,0,13,9
8857,2,1,1,156,2017-11-07 14:00:31,,0,14,7
259,11,2,36,64,2017-11-08 21:34:07,,0,21,8
17511,14,1,19,32,2017-11-07 11:02:12,,0,11,7
28790,8,1,18,33,2017-11-08 00:46:13,,0,0,8
768,17,1,19,33,2017-11-08 05:09:09,,0,5,8
13064,11,1,13,37,2017-11-08 08:19:12,,0,8,8
8225,12,1,10,144,2017-11-09 00:45:51,,0,0,9
32676,21,1,3,21,2017-11-07 16:49:41,,0,16,7
5870,20,1,18,31,2017-11-09 01:43:28,,0,1,9
29420,13,1,19,149,2017-11-07 14:12:50,,0,14,7
29852,14,1,22,32,2017-11-08 22:35:42,,0,22,8
19336,17,1,19,14,2017-11-09 01:05:11,,0,1,9
11399,0,1,13,33,2017-11-09 01:23:14,,0,1,9
8984,2,1,13,77,2017-11-07 02:21:19,,0,2,7
4683,8,1,19,33,2017-11-07 03:12:05,,0,3,7
17935,8,1,15,54,2017-11-08 11:00:34,,0,11,8
11147,2,1,19,110,2017-11-09 10:58:54,,0,10,9
9385,25,1,18,24,2017-11-06 23:30:47,,0,23,6
10129,23,1,17,45,2017-11-08 01:28:16,,0,1,8
11947,10,1,5,55,2017-11-08 07:40:29,,0,7,8
16590,2,1,8,77,2017-11-08 10:45:56,,0,10,8
19719,2,1,11,77,2017-11-09 04:34:28,,0,4,9
16829,1,1,6,104,2017-11-09 08:34:21,,0,8,9
23969,14,1,14,0,2017-11-07 01:04:51,,0,1,7
11740,2,1,19,35,2017-11-07 05:58:02,,0,5,7
26930,11,1,19,64,2017-11-08 06:29:42,,0,6,8
20249,5,1,18,138,2017-11-08 19:50:13,,0,19,8
18448,1,1,41,55,2017-11-07 06:46:39,,0,6,7
9385,14,1,1,123,2017-11-07 04:21:47,,0,4,7
21895,14,1,10,64,2017-11-07 06:08:57,,0,6,7
26912,14,1,19,116,2017-11-08 13:49:04,,0,13,8
2266,14,1,22,106,2017-11-07 03:39:16,,0,3,7
13336,12,1,51,146,2017-11-08 01:57:08,,0,1,8
27550,1,1,19,59,2017-11-07 09:39:27,,0,9,7
926,11,1,9,45,2017-11-07 10:25:59,,0,10,7
8711,14,2,79,0,2017-11-09 09:32:17,,0,9,9
19411,19,1,13,147,2017-11-07 02:47:29,,0,2,7
16994,23,1,19,13,2017-11-07 15:35:04,,0,15,7
1114,1,1,22,146,2017-11-07 22:15:12,,0,22,7
11509,11,1,19,64,2017-11-07 08:27:01,,0,8,7
6484,7,1,13,38,2017-11-06 18:09:52,,0,18,6
28896,14,1,22,40,2017-11-07 09:47:39,,0,9,7
28198,17,1,13,125,2017-11-07 16:08:52,,0,16,7
52,17,1,35,14,2017-11-08 08:31:38,,0,8,8
14204,17,1,18,14,2017-11-09 00:36:48,,0,0,9
26196,11,2,22,45,2017-11-09 04:51:55,,0,4,9
4344,14,1,19,17,2017-11-07 21:00:23,,0,21,7
19020,17,1,13,14,2017-11-09 13:49:36,,0,13,9
23515,1,1,13,146,2017-11-08 06:21:25,,0,6,8
5749,17,93,126,14,2017-11-07 04:00:46,,0,4,7
22249,1,1,8,60,2017-11-07 01:59:40,,0,1,7
4257,14,1,18,123,2017-11-07 08:30:48,,0,8,7
25993,2,1,19,77,2017-11-07 06:45:16,,0,6,7
8499,25,1,3,24,2017-11-07 03:25:08,,0,3,7
15043,0,1,8,125,2017-11-07 03:52:53,,0,3,7
